licence_ref,description,licensee_name,trading_name,nominee_name,address_1,address_2,address_3,county
1000371,Wine Retailer's On Licence,Wusheng Xie,Dragon Phoenix Restaurant,,1st Floor,2 St Nessans Road,Dooradoyle,Co. Limerick
1009278,Wine Retailer's On Licence,Creative Leisure Management,I-kandi/ The Factory,Eamon Ryan,Unit 1 Eastway Business Park,Crossagalla,,Co. Limerick
Lip1277,Publican's Licence (Ordinary) Hotel - BF - 1902 Act (Public Bar),Tizzard Holdings Limited,Adare Manor Hotel,,Adare,,,Co. Limerick
Fop0010,Publican's Licence (7-Day Ordinary),J D And Betty Harnett,Cryle View Bar,,Abbeyfeale,,,Co. Limerick
Lip1377,Publican's Licence (7-Day Ordinary),Turnkey Ventures Limited,Russell's Pub,,Fr. Russell Road,Ballykeefe,,Co. Limerick
1010549,"Spirit, Beer & Wine Retailer's Off Licence",Treaty Caherconlish Retailing Limited,Osullivans Centra,,Old Barrack Road Caherconlish Limerick,Old Barrack Road,Caherconlish,Co. Limerick
1009665,Wine Retailer's On Licence,Vermouth,King Palace Restaurant,Zhang Zhanghua,Ambassador Centre,Dooradoyle,Limerick,Co. Limerick
1009811,Wholesaler Dealer in Wine,Bt Wines Limited,Aras Ide,,Foynes,,,Co. Limerick
1009717,Wine Retailer's On Licence,Houfu Partnership,Houfu Chinese Restaurant,Wenzhong Zhu,Main Street,Adare,,Co. Limerick
Lip1361,Publican's Licence (Ordinary) Hotel - BF - 1902 Act (Public Bar),Averymont Limited,The South Court Hotel,,Adare Road,Raheen,,Co. Limerick
Lip0525,Publican's Licence (7-Day Ordinary),Burgerchick Limerick Limited,,,49/50 Thomas Street,Limerick,,Co. Limerick
Lip0078,Publican's Licence (7-Day Ordinary),The Hurlers Bar Limited,The Hurlers,,Castletroy,,,Co. Limerick
Lio0188,Wine Retailer's Off Licence,Martin Scanlon,,,Friarstown,Grange,,Co. Limerick
Lip0755,Publican's Licence (7-Day Ordinary),Mother Macs Limited,The Round House,,8 & 9 High Street,Limerick,,Co. Limerick
1011507,Wine Retailer's On Licence,Hidden Valley Restaurant Limited,Camile Thai,Michael Hughes,Unit 10b Parkway Retail Park,Limerick,,Co. Limerick
Lip0442,Publican's Licence (7-Day Ordinary),Callanan Taverns Limited,The Glen Tavern,Gerard Callanan,1 Glentworth Street,Limerick,,Co. Limerick
1013536,Wine Retailer's On Licence,Boojum4 Limited,Boojum,David Maxwell,17-19 Patrick Street,,,Co. Limerick
Lip1359,Publican's Licence (Ordinary) Hotel - BF - 1902 Act (Public Bar),Tizzard Holdings Limited,Adare Manor Hotel And Golf Resort,,Adare,,,Co. Limerick
1002022,Wine Retailer's On Licence,Lakandyan Limited,Taste,Shantha Hettiarachchi,Main Street,Glin,,Co. Limerick
1013341,Wine Retailer's On Licence,Taste Of Joy Limited,2 We Ton,Ce Bjan,Unit 1 Denmark Street,,,Co. Limerick
Lip0151,Publican's Licence (7-Day Ordinary),Bláithin Herbert,Michael Herbert's Bar,,Sallymount,Lisnagry,,Co. Limerick
1008349,"Spirit, Beer & Wine Retailer's Off Licence",Doon (mayfly) Limited,Spar Doon,,Main Street,Doon,,Co. Limerick
1006821,Wine Retailer's On Licence,Peter Ward,Country Choice,,Unit 4 And 5,The Milk Market,Mungret Street,Co. Limerick
1002419,Publican's Licence (7-Day Ordinary),The Green Hen Limited,The Red Hen,,Patrick Street,Limerick,,Co. Limerick
Lip1354,Publican's Licence (Ordinary) Hotel - BF - 1902 Act (Public Bar),Riovoir Limited,Limerick City Hotel,,Lower Mallow Street,Mount Kennett Place,Limerick,Co. Limerick
Liw0847,Wine Retailer's On Licence,Lpt Foods Limited,Kaya Restaurant,Feng Huang,28 O'connell Street,Limerick,,Co. Limerick
1002436,"Spirit, Beer & Wine Retailer's Off Licence",Treaty Retail Limited,O'sullivans Centra,,Clarina,Ballybrown,,Co. Limerick
Lip0018,Publican's Licence (7-Day Ordinary),Adrian Gilligan And Teresa Gilligan,Greenwood Inn,,Ardpatrick,Kilmallock,,Co. Limerick
Lip1383,Publican's Licence (7-Day Ordinary),Clough Keating Doora Doyle Limited,,,Sluggery,Dooradoyle,,Co. Limerick
1007321,Wholesaler Dealer in Beer,John Twomey,,,Colmanswell,Kilmallock,,Co. Limerick
Lip0470,Publican's Licence (7-Day Ordinary),Keith Mcmahon And Linda Mcmahon,The Cauldron Bar,,33 Nicholas Street,Limerick,,Co. Limerick
Lip0025,Publican's Licence (7-Day Ordinary),Josh Shehan Limited,Top Of The Town,,Main Street,Askeaton,,Co. Limerick
1011868,Spirit & Beer Retailer's Off Licence,Sunnydale Off Licences Limited,,,Unit 6,Greenpark Shopping Centre,,Co. Limerick
1010548,Wine Retailer's Off Licence,Neillhiggins Limited,Gala Kilmallock,,Sheares Street Kilmallock Co Limerick,Sheares Street,Kilmallock,Co. Limerick
1010769,Wine Retailer's On Licence,Lanathai Kitchen Limited,Lana Asian Street Food Castletroy,,Unit 1 Gleneask,Dublin Road,Castletroy,Co. Limerick
Lip1386,Publican's Licence (7-Day Ordinary),Brimstone And Fire Limited,Brimstone Steakhouse,,Riverpoint,Lower Mallow Street,,Co. Limerick
Lip0399,Publican's Licence (7-Day Ordinary),Lower Cecil Enterprises,Squire Maguires,,12 Lower Cecil Street,Limerick,,Co. Limerick
1009235,Manufacturer's Licence - Brewer,Jj's Craft Brewing Company Limited,Jj's Craft Brewing Company Limited,John Coughlan,Kilmallock Enterprise Center,Bruree Road,Kilmallock,Co. Limerick
Lip1205,Publican's Licence (Ordinary) Hotel - BF - 1902 Act (Public Bar),Inua Limerick General Partner Limited,Radisson Sas Hotel,John O'brien,Ennis Road,,,Co. Limerick
1008816,Wine Retailer's On Licence,Kin Ping So And Bo Xu,Jasmine Court,,The Square,Newcastle West,,Co. Limerick
Lip0651,Publican's Licence (7-Day Ordinary),Jrw Limited,Cronin's Bar,Wayne Cronin,The Square,Newcastlewest,,Co. Limerick
Lip1397,Publican's Licence (7-Day Ordinary),Parker Bond Limited,Synotts Bar,,Newtown Centre,Annacotty,,Co. Limerick
1013969,Special Restaurant Licence,The Buttery Bistro (limerick) Limited,,,10 Bedford Row,Castletroy,,Co. Limerick
1002972,Wine Retailer's Off Licence,Michael Keating And Margaret Keating,Keatings Spar Foodstore,,Raheenagh,Ballagh,,Co. Limerick
1008991,Wine Retailer's On Licence,The Good Room Café Limited,The Good Room Cafe Bistro,Claire Staunton,Main Street,Adare,,Co. Limerick
Lio0178,"Spirit, Beer & Wine Retailer's Off Licence",Sandr Supermarket Limited,Spar Supermarket,Ray Burns,Old Cratloe Road,Caherdavin,,Co. Limerick
Liw0570,Wine Retailer's On Licence,Brian Hayes And Sandrine Hayes,The Blue Door,,Church View,Adare,,Co. Limerick
1010043,Publican's Licence (7-Day Ordinary),Kestrel Stone Limited,The Bank Building,Gary Hughes,63 O'connell Street,,,Co. Limerick
Lip0058,Publican's Licence (7-Day Ordinary),Georgina O'brien,An Poc Fada,,Main Street,Ballylanders,Kilmallock,Co. Limerick
Lip0213,Publican's Licence (7-Day Ordinary),Anna Moore,,,Doon,,,Co. Limerick
Lip0540,Publican's Licence (7-Day Ordinary),Greenes Cafe Limited,Greene's Cafe,,63 William Street,Limerick,,Co. Limerick
Lip0004,Publican's Licence (7-Day Ordinary),Michael Power,,,Abbington,Murroe,,Co. Limerick
Lio0128,"Spirit, Beer & Wine Retailer's Off Licence",Treaty Cappamore Retailing Dac,Centra,Brian O'sullivan,Moore Street,Cappamore,,Co. Limerick
Lip1189,Publican's Licence (7-Day Ordinary),O'mordha Construction Limited,Two Mile Inn Hotel,,Meelick,,,Co. Limerick
Lip1370,Publican's Licence (7-Day Ordinary),Shane Mccarthy Receiver Over Personal Assets Of Tom Kingston Barry Har,Peter Clohessy's Bar & Sin Bin,,Howley's Quay,Limerick,,Co. Limerick
1012191,Wine Retailer's On Licence,Madam Mok Asian Fusion Restaurant And Takeaway Limited,,Chee Seng Loh,44/45 Catherine Street,,,Co. Limerick
1013270,Wine Retailer's On Licence,Attina Restaurant Limited,La Piccola Italia,Stefano Coppola,55 O'connell Street,,,Co. Limerick
1012442,Wine Retailer's On Licence,Maciej Pater And Wojciech Plochec,The Silver Room Restaurant,,The Carnegie Centre,Market Place,Newcastlewest,Co. Limerick
Lip0360,Publican's Licence (7-Day Ordinary),Mary Coughlan And Michael Scanlon,Scanlon's Bar,,Knockaderry,Limerick,,Co. Limerick
1007815,Spirit & Beer Retailer's Off Licence,J And D Harnett Limited,Moss Harnett's Spar Supermarket,,Killarney Road,Abbeyfeale,,Co. Limerick
1000944,Publican's Licence (ordinary) - Theatre,Kilmallock Performing Centre Ltd,T/a Friars Gate Theatre,,Sarsfield Street,Kilmallock,,Co. Limerick
Liw0843,Wine Retailer's On Licence,Chungs Cuisine Catering Company Limited,,Meirong Ou,Unit 7b,Castletroy Commercial Centre,Plassey Row,Co. Limerick
1002599,Wine Retailer's On Licence,Marie Murphy,Marie Cheese Shop,,Greenacres,The Milk Market,,Co. Limerick
Lip0705,Publican's Licence (7-Day Ordinary),Andrew Hourigan,The Thatch Bar,,Ballyanne,Newbridge,Askeaton,Co. Limerick
1011908,Wine Retailer's On Licence,Tuscany At The Granary Limited,Tuscany At The Granary Limited,,Michael Street,,,Co. Limerick
Lir0033,Special Restaurant Licence,Winestore Restaurants Limited,Cornstore,,19 Thomas Street,Limerick,,Co. Limerick
1000992,"Spirit, Beer & Wine Retailer's Off Licence",Kelton Properties Limited,Centra Supermarket,,Woodview Shopping Centre,Woodview Park,Old Cratloe Road,Co. Limerick
Lip1394,Publican's Licence (Ordinary) Hotel - BF - 1902 Act (Public Bar),The Absolute Hotel Limerick Limited,Absolute Hotel,,Sir Harry's Mall,Limerick City,,Co. Limerick
Lir0011,Special Restaurant Licence,The French Table Limited,French Table,,Steamboat Quay,Limerick,,Co. Limerick
Lip0503,Publican's Licence (7-Day Ordinary),Pharmacia Pubs Limited,Pharmacia,Michael Warner,9 Sarsfield Street,Limerick,,Co. Limerick
Lip0072,Publican's Licence (7-Day Ordinary),Village Local 2017 Limited,Westward Ho,,Rathmale,Mungret,,Co. Limerick
Lip0129,Publican's Licence (7-Day Ordinary),Anna Hayes,Hayes Bar,,Main Street,Cappamore,,Co. Limerick
Lip1242,Publican's Licence (7-Day Ordinary),Gleeclan Taverns Limited,The Country Club,,Old Cratloe Road,Clonconane Limerick,,Co. Limerick
Lip0070,Publican's Licence (7-Day Ordinary),Castletroy Taverns Limited,Finnegans Bar And Restaurant,,Carrowkeel,Annacotty,,Co. Limerick
1000969,Publican's Licence (7-Day Ordinary),Powton Ardhu Limited,Ardhu Bar,,Ennis Road,,,Co. Limerick
1013196,Wine Retailer's On Licence,Zabbthai Limited,,Anuradee Wisethorn,1-2 Lower Glenworth Street,,,Co. Limerick
Lip0706,Publican's Licence (7-Day Ordinary),My Best Pal Limited,The Weigh Inn,,Ballysheedy,Limerick,,Co. Limerick
1013509,Wine Retailer's On Licence,Triple Crown Coffee Bar Limited,Triple Crown Coffee Bar,Tao Lui,50 Athlunkard Street,,,Co. Limerick
1013756,Wine Retailer's Off Licence,Mj Dee And Co Limited,,Sharon Walsh,Cullinagh,Newcastle West,,Co. Limerick
Lip0302,Publican's Licence (7-Day Ordinary),Quinntel Enterprises Limited,De Bucket,John Quinn,Court,Kildimo,,Co. Limerick
1011245,Wine Retailer's On Licence,Lanathai Kitchen Limited,Lana Asian Streeet Food,Feng Huang,Unit 2  Courtfield Commercial Centre,Raheen,,Co. Limerick
Fop0023,Publican's Licence (7-Day Ordinary),Donal And Ann Limited,Donal And Ann,,Main Street,Abbeyfeale,,Co. Limerick
Lip0521,Publican's Licence (7-Day Ordinary),Aengus D'arcy And Rioghna D'arcy,Jj Bowles,,8 Thomondgate,Limerick,,Co. Limerick
Fop0022,Publican's Licence (7-Day Ordinary),K And E Murphy Taverns Limited,,,Main Street,Abbeyfeale,,Co. Limerick
1012051,Wine Retailer's On Licence,Costello Foods Limited,Fusion Poppadom,Sajid Hussain,Unit 2c Robert Street,Cornmarket Square,,Co. Limerick
Lio0228,"Spirit, Beer & Wine Retailer's Off Licence",Clonross Supermarket Limited,Centra,,117 O'connell Street,Limerick,,Co. Limerick
Lip1344,Publican's Licence (7-Day Ordinary),Wise Fusion Limited,The Crafty Fox,,12(b) 13(b) 14(b) Denmark Street,Limerick,,Co. Limerick
Lip1393,Publican's Licence (Ordinary) Hotel - BF - 1902 Act (Public Bar),Strand Leisure Investments Limited,Strand Hotel Limerick,The Limerick Strand Hotel Partnersh,Ennis Road,O'callaghan Strand,Limerick,Co. Limerick
1012321,"Spirit, Beer & Wine Retailer's Off Licence",Tempside Limited,Polonez,,Unit 2b Roxboro,Childers Road,,Co. Limerick
1013840,Wine Retailer's Off Licence,Gleesons Newsagents Punches Cross Limited,Gleesons Spar,,Punches Cross,Ballinacurra,,Co. Limerick
Lip0354,Publican's Licence (7-Day Ordinary),Reens Bar Limited,Reens Bar,,Reens,Ardagh,,Co. Limerick
1013755,Wine Retailer's Off Licence,Gleesons Newsagents Hurlers Limited,,,Hurlers,Castletroy,,Co. Limerick
1003200,Wine Retailer's Off Licence,Oil Rig Supplies Limited,Emo Filling Station,,Clare Street,Dublin Road,Limerick City,Co. Limerick
Fop0085,Publican's Licence (7-Day Ordinary),James Scanlon,Patie Joe's Bar,,Main Street,Shanagolden,,Co. Limerick
1012269,Wine Retailer's On Licence,The Tin Hat Unlimited Company,Hook And Ladder,Andrew Moloney,Corbally Road,,,Co. Limerick
Lip0056,Publican's Licence (7-Day Ordinary),Thomas Walsh,The Kingdom Bar,,Ballylanders,Kilmallock,,Co. Limerick
Lip0476,Publican's Licence (7-Day Ordinary),Lighthouse Events Limited,Teds,,102 O'connell Street And Basement Area,103 O'connell Street,Limerick,Co. Limerick
Lip0669,Publican's Licence (7-Day Ordinary),Nelly's Bar Limited,Millers Bar,,And Adjoining Supermarket,Main Street,Oola,Co. Limerick
Fop0065,Publican's Licence (7-Day Ordinary),Brouders Bar Limited,Top Of The Town,Betty Cotter,Con Colbert Street,Athea,,Co. Limerick
Lip0512,Publican's Licence (7-Day Ordinary),Whelan Catering Co Limited,,Joseph Whelan,1 New Road,Thomondgate,Limerick,Co. Limerick
Lip1349,Publican's Licence (Ordinary) Hotel - BF - 1902 Act (Resident's Bar),The Mustard Seed Limited,The Mustard Seed At Echo Lodge,,Knights Street,Ballingarry,,Co. Limerick
1012266,Wine Retailer's On Licence,The Tin Hat Unlimited Company,Hook And Ladder,Andrew Moloney,Hook And Ladder,Castletroy Shopping Centre,,Co. Limerick
Lip0459,Publican's Licence (7-Day Ordinary),O'brien's Gate Limited,The Gate Bar,Tony O'brien,9/10 Lock Quay,Limerick,,Co. Limerick
Lip0075,Publican's Licence (7-Day Ordinary),Matt Rea,The Stroller,,Ballyneety,,,Co. Limerick
Lip0142,Publican's Licence (7-Day Ordinary),Bradshaws Inn Limited,Bradshaws,,Castleview,Castleconnell,,Co. Limerick
Lip0474,Publican's Licence (7-Day Ordinary),The White House Bar Limited,The White House,,51 O'connell Street And 1 Glentworth Street,Limerick,,Co. Limerick
1013519,Wine Retailer's On Licence,Cedar House Pizza Limited,Mejana Restaurant,Haidar El Maula,1 Bridgewater Court,Howleys Quay,,Co. Limerick
1011610,Wine Retailer's On Licence,Cedar House Pizza Limited,Cedar House,Haidar El Mawla,1/2 Robert Street,,,Co. Limerick
1010007,"Spirit, Beer & Wine Retailer's Off Licence",Clonreask Supermarkets Limited,Ryans Centra,,Clonreask,Askeaton,,Co. Limerick
1012271,Wine Retailer's On Licence,The Tin Hat Unlimited Company,Hook And Ladder,Andrew Moloney,7 Sarsfield Street,,,Co. Limerick
1007230,Wine Retailer's On Licence,Brulor Limited,La Cucina,Bruno Cuppola,5 Castletroy Lower,Castletroy,,Co. Limerick
Lip0511,Publican's Licence (7-Day Ordinary),Noel Hassett,Hassetts,,High Road,Thomandgate,Limerick,Co. Limerick
Liw0006,Wine Retailer's On Licence,International Chinese Restaurant Limited,Hong Kong Chinese Restaurant,William Lee,44 William Street,Limerick,,Co. Limerick
Lio0265,"Spirit, Beer & Wine Retailer's Off Licence",Tesco Ireland Limited,,,Colbert's Terrace,Abbeyfeale,,Co. Limerick
Lio0271,"Spirit, Beer & Wine Retailer's Off Licence",Tesco Ireland Limited,Tesco,,Coonagh Cross,Clondrinagh,,Co. Limerick
Lio0222,"Spirit, Beer & Wine Retailer's Off Licence",Tesco Ireland Limited,,,Gortboy,Newcastlewest,,Co. Limerick
Lio0221,"Spirit, Beer & Wine Retailer's Off Licence",Tesco Ireland Limited,,,Crescent Shopping Centre,Dooradoyle,Limerick,Co. Limerick
Lio0082,"Spirit, Beer & Wine Retailer's Off Licence",Tesco Ireland Limited,Tesco Ireland,,Patrick Street/francis Street,Arthurs Quay,Limerick,Co. Limerick
Lio0083,"Spirit, Beer & Wine Retailer's Off Licence",Tesco Ireland Limited,Tesco,,Roxboro Road,Roxboro,Limerick,Co. Limerick
Lir0008,Special Restaurant Licence,Kenal Restaurants Limited,,,5-8 George's Quay,Limerick,,Co. Limerick
Lid0022,"Wholesaler Dealer in Beer, Wine & Spirits",Bwg Foods Limited,Value Centre,,Careys Road,Limerick,,Co. Limerick
Liw0036,Wine Retailer's On Licence,Brown Thomas And Co Limited,Brown Thomas,,11/16 O'connell Street,Limerick,,Co. Limerick
Lio0234,"Spirit, Beer & Wine Retailer's Off Licence",O'briens Wine Off Licence,,James O'brien,Unit 8 Parkway Shopping Centre,Dublin Road,Limerick,Co. Limerick
Lip0066,Publican's Licence (7-Day Ordinary),David Barrett,,,Ballyshonakin,Kilmallock,,Co. Limerick
Lip0011,Publican's Licence (7-Day Ordinary),Catherine Barry,Galtee View Bar,,Anglesboro,Kilmallock,,Co. Limerick
Lip0284,Publican's Licence (7-Day Ordinary),Donal Devane,,,Main Street,Hospital,,Co. Limerick
1010993,Manufacturer's Licence - Brewer,Conradh Brewing Company Limited,Treaty City Brewing Company,Stephen Cunneen,Unit 13b,Childers Road Industrial Estate,,Co. Limerick
Lip0618,Publican's Licence (7-Day Ordinary),Margaret Long Hartnett,Mag's Bar,,Bridge Street,Newcastle West,,Co. Limerick
Lip0637,Publican's Licence (7-Day Ordinary),Edward Lynch,,,Maiden Street,Newcastlewest,,Co. Limerick
Lip0265,Publican's Licence (7-Day Ordinary),Dermot O'dwyer,,,Pallasgreen,,,Co. Limerick
Lip0224,Publican's Licence (7-Day Ordinary),Liam Leahy,The Green Bar,,The Square,Dromcollogher,,Co. Limerick
Lip0350,Publican's Licence (7-Day Ordinary),Mary Cussen,,,Rockfarm,Ballybrood,Pallasgreen,Co. Limerick
Lip0119,Publican's Licence (7-Day Ordinary),Dolores Condon,Molly's,,"Inch Street, Laurence",Caherconlish,,Co. Limerick
Liw0755,Wine Retailer's On Licence,John And Nora Wallace,The Mallard Restaurant,,3 North Quay,Newcastlewest,,Co. Limerick
Lip0150,Publican's Licence (7-Day Ordinary),Robert Walpole,,,Charcos,Lacka,Castleconnell,Co. Limerick
1013406,Wine Retailer's On Licence,Min Hoi Lee,Cotta Cafe And Restaurant,,North Quay,Newcastle West,Co Limerick,Co. Limerick
Lip0330,Publican's Licence (7-Day Ordinary),William Howard,,,Lord Edward Street,Kilmallock,,Co. Limerick
Fop0051,Publican's Licence (Ordinary) Hotel - BF - 1902 Act (Public Bar),Rayiv Kumar,The Lanterns Hotel,,Ballydonoghue,Glin,,Co. Limerick
1005451,Wine Retailer's On Licence,Taplen Limited,Superdine,Allen O'shaughnessy,Castletroy Court,Dublin Road,Castletroy,Co. Limerick
Lio0102,"Spirit, Beer & Wine Retailer's Off Licence",Musgrave Operating Partners Ireland Limited,Supervalu,,Castletroy Shopping Centre,Newcastle,,Co. Limerick
Lip0527,Publican's Licence (7-Day Ordinary),Turnkey Public House Limited,The Still House,,56 Thomas Street,,,Co. Limerick
1009166,Wine Retailer's On Licence,Breda O'shaughnessy,The Riverside Restaurant,,"Civic Centre,",Main Street,Croom,Co. Limerick
Fop0040,Publican's Licence (7-Day Ordinary),Kathleen Harnett,The Goal Post Bar,,Tournafulla,Newcastlewest,,Co. Limerick
Lip0550,Publican's Licence (7-Day Ordinary),John G. Moloney,Munster Fair Tavern,,Blackboy Pike,Limerick,,Co. Limerick
1012227,Special Restaurant Licence,Lorbrun Limited,La Cucina Centro,,Chandler House,96 - 98 Henry Street,,Co. Limerick
Lip1374,Publican's Licence (Ordinary) Hotel - BF - 1902 Act (Public Bar),Merzolt Limited,The Clarion Hotel,,Steamboat Quay,Dock Road,,Co. Limerick
Fop0074,Publican's Licence (7-Day Ordinary),Paul Collins Retail Limited,Jp Collins Bar,Paul Collins,Colbert Street,Athea,,Co. Limerick
Lip1346,Publican's Licence (7-Day Ordinary),Market Alley Bars Limited,The Old Quarter,,Little Ellen Street,Limerick,,Co. Limerick
1007313,Special Restaurant Licence,Lets Go Out Tonight Limited,Vines,,Ballyneety Golf Club,Ballyneety,,Co. Limerick
1006612,Wine Retailer's On Licence,Almondville Limited,Peckish Restaurant,Richard Costello,1 O'connell Street,Limerick,,Co. Limerick
1014134,Wine Retailer's Off Licence,O'sullivan Forecourts Limited,O'sullivan Forecourts Limited,John O Sullivan,Ballydonnell,Feonanagh,,Co. Limerick
Lip0385,Publican's Licence (7-Day Ordinary),Ellen Street Bars Limited,Katie Daly's Bar,,12 Castle Street,Limerick,,Co. Limerick
Lip1395,Publican's Licence (7-Day Ordinary),Bmb Hotel Management Limited,The Savoy Hotel,William O'riordan,Henry Street,Limerick,,Co. Limerick
1005904,Publican's Licence (ordinary) - Theatre,Limetree Theatre Limerick Limited,Lime Tree Theatre,Louise Donlan,Mary Immaculate College,Courtbrack Ave,South Circular Road,Co. Limerick
Lip1388,Publican's Licence (7-Day Ordinary),Patrick Hoare,The Groody Bar,,Castletroy,Limerick,,Co. Limerick
Lid0060,"Wholesaler Dealer in Beer, Wine & Spirits",Musgrave Limited,Musgrave Wholesale Partners,Frank Walley,Park,Limerick,,Co. Limerick
Lip0453,Publican's Licence (7-Day Ordinary),Dermot Graham,Stepper Flanagans,,24 High Street,Limerick,,Co. Limerick
Lip0635,Publican's Licence (7-Day Ordinary),Margaret Kelly,Silver Dollar Bar,,Maiden Street,Newcastlewest,,Co. Limerick
Lip0645,Publican's Licence (7-Day Ordinary),Maurice Dooley,,,South Quay,Newcastlewest,,Co. Limerick
Lio0282,Wine Retailer's Off Licence,Adams Garage Limited,,,Glin,,,Co. Limerick
Lip0552,Publican's Licence (7-Day Ordinary),Fennessy's Vintners (1973) Limited,M. Fennessy,Michael Collins,New Street,Limerick,,Co. Limerick
1008910,Publican's Licence (ordinary) - Theatre,The Lime Tree Theatre Limerick Limited,,Louise Donlon,69 O'connell Street,Limerick,,Co. Limerick
Lio0119,"Spirit, Beer & Wine Retailer's Off Licence",Thomas Rodahan Limited,Rodahan's Centra,,Northtown Shopping Centre,Ennis Road,Limerick,Co. Limerick
Fop0044,Publican's Licence (7-Day Ordinary),Jc Barrett Bar Limited,The Real Mccoy,,Main Street,Glin,,Co. Limerick
Lip0505,Publican's Licence (7-Day Ordinary),P. A. Martin Limited,P.a. Martin,Timothy Martin,23 Sarsfield Street,Limerick,,Co. Limerick
1006781,Wine Retailer's Off Licence,Emerald Retail Limited,,,The Food Court,Ballyvarren,Kildimo,Co. Limerick
Lip0103,Publican's Licence (7-Day Ordinary),Brancy Limited,Clancy's Bar And Restaurant,,Main Street,Bruff,,Co. Limerick
1013031,Special Restaurant Licence,Samata Limited,Tuscany Bistro,Sabrina Amodeo,"9 Newtown Centre, Annacotty,co Limerick",Unit 9 Newtown Centre,Annacotty,Co. Limerick
Lip0472,Publican's Licence (7-Day Ordinary),Mona Lodge Limited,Curragower Bar,,Clancy Strand,Limerick,,Co. Limerick
1002027,Publican's Licence (Ordinary) Greyhound Racetrack,The Limerick Greyhound Racing Track Ltd,,,Markets Field,Limerick,,Co. Limerick
Lip0390,Publican's Licence (7-Day Ordinary),Flannery Limerick Limited,Flannery's Bar,,"19a And 20 Catherine Street, And 13a And 13b Cecil Street",Limerick,,Co. Limerick
1002906,Wine Retailer's On Licence,Rjr Leisure Limited,Rollerjam,Ronan Ryan,Unit 15,City East Business Park,Ballysimon,Co. Limerick
Lip0748,Publican's Licence (Ordinary) Hotel - BF - 1902 Act (Public Bar),Bryan Greene And Co Limited,Greenhills Hotel,,Caherdavin,Limerick,,Co. Limerick
Lip0212,Publican's Licence (7-Day Ordinary),Bridge Inn Limited,,Thomas Madden,Portnard,Cappamore,,Co. Limerick
Fop0078,Publican's Licence (7-Day Ordinary),John Mcmahon,M. Fitzgerald,,Foynes,,,Co. Limerick
Lip0458,Publican's Licence (7-Day Ordinary),Joseph Barry,The Square Bar,,"4,5,6,& 7 Johnsgate",Limerick,,Co. Limerick
Lip0694,Publican's Licence (7-Day Ordinary),James Roche,The Round House,,Main Street,Rathkeale,,Co. Limerick
Lip0464,Publican's Licence (7-Day Ordinary),Jerrys Limited,,Jeremiah O'dea,17/18/19 Mulgrave Street,Limerick,,Co. Limerick
Lip0012,Publican's Licence (7-Day Ordinary),Thomas Neary,,,Main Street,Ardagh,,Co. Limerick
Lip0022,Publican's Licence (7-Day Ordinary),Mary Cagney,,,East Square,Askeaton,,Co. Limerick
Fop0005,Publican's Licence (7-Day Ordinary),Philip Enright,,,Chapel Street,Abbeyfeale,,Co. Limerick
Lio0247,Wine Retailer's Off Licence,Danny O'neill,,,The Square,Galbally,,Co. Limerick
Lip0253,Publican's Licence (7-Day Ordinary),Henry Fraser,,,The Square,Galbally,,Co. Limerick
Fop0030,Publican's Licence (7-Day Ordinary),Thomas O'connell,,,New Street,Abbeyfeale,,Co. Limerick
Lip0068,Publican's Licence (7-Day Ordinary),Sean Kenny,Normans Bar,,Ballyhaught Effin,Kilmallock,,Co. Limerick
Lip0409,Publican's Licence (7-Day Ordinary),Denis Augustine O'driscoll (1974) Limited,Corbally Bar,Denis O'driscoll,Corbally,Limerick,,Co. Limerick
Foo0008,Wine Retailer's Off Licence,Dolores Mcnamara,,,Main Street,Glin,,Co. Limerick
Lip0064,Publican's Licence (7-Day Ordinary),Gallahues Bar And Restaurant Ballylanders Limited,,Daniel Gallahue,Ballylanders,Kilmallock,,Co. Limerick
Lip0063,Publican's Licence (7-Day Ordinary),Thomas Walsh,The Premier Bar,,Main Street,Ballylanders,,Co. Limerick
Lip0222,Publican's Licence (7-Day Ordinary),Nora Morrissey,Corner House Bar And Restaurant,,The Square,Dromcollogher,,Co. Limerick
Lio0085,Wine Retailer's Off Licence,Martin Michael Hayes,,,Tervoe,Clarina,,Co. Limerick
1007881,Wine Retailer's On Licence,Wen Hua Limited,Lah Hua Ting,Rong Lin,Sarsfiled Street,Kilmallock,,Co. Limerick
Lip0125,Publican's Licence (7-Day Ordinary),Kathleen O'donoghue,,,Herbertstown,Knocklong,,Co. Limerick
1013648,Wine Retailer's On Licence,Still Or Sparkling Limited,The Copper Room,Jennifer Coll,100 O'connell Street,,,Co. Limerick
1005403,Spirit & Beer Retailer's Off Licence,Ellen Deady,Costcutters,,Main Street,Bruree,,Co. Limerick
Lip0215,Publican's Licence (7-Day Ordinary),Jack J.ryan,Patrick Ryan,,Main Street,Doon,,Co. Limerick
Lip0401,Publican's Licence (7-Day Ordinary),T.c.d.m. Limited,,,34 Cecil Street,Limerick,,Co. Limerick
Lip0111,Publican's Licence (7-Day Ordinary),Seamus Flannery,,,Caherconlish,,,Co. Limerick
Lip0263,Publican's Licence (7-Day Ordinary),Gerard Doherty,The Hamlet,,Grange,Kilmallock,,Co. Limerick
Fop0031,Publican's Licence (7-Day Ordinary),Stephen Smith,The Ploughman,,The Square,Abbeyfeale,,Co. Limerick
