licence_ref,description,licensee_name,trading_name,nominee_name,address_1,address_2,address_3,county
Lip0172,Publican's Licence (7-Day Ordinary),Coraude Limited,Gearys Bar,,Main Street,Charleville,,Co. Cork
Cxp570,Publican's Licence (7-Day Ordinary),J. J. Cow Tavern Limited,The Cow Bar,,11/12/13 Old Youghal Road,Mayfield,Cork,Co. Cork
Cxp852,Publican's Licence (7-Day Ordinary),Cross Blue Holdings Limited,Hamlets Of Kinsale,Ciaran Fitzgerald,The Glen,Kinsale,,Co. Cork
Cxp683,Publican's Licence (7-Day Ordinary),Sheltron Limited,The Poor Relation,,19/20 Parnell Place,Cork,,Co. Cork
Cxp308,Publican's Licence (7-Day Ordinary),Irene Murphy,Murphs,,Monkstown,,,Co. Cork
Cxp218,Publican's Licence (7-Day Ordinary),Ns Fair Limited,The Farran Well,Jimmy Musgrave,Farranavarra,Farran,,Co. Cork
Cxw309,Wine Retailer's On Licence,Br Italian Food Limited,Gallo And Galetti,Richard O'brien,7/8 High Street,Wilton,,Co. Cork
1006967,Wine Retailer's On Licence,Jonjulie Limited,Finn's Table,John Finn,6 Main Street,Kinsale,,Co. Cork
Cxp542,Publican's Licence (7-Day Ordinary),Andemare Limited,Gallaghers Bar,Noreen Gannon,31 Mccurtain Street,Cork,,Co. Cork
Cxp155,Publican's Licence (7-Day Ordinary),Spyglass Taverns Limited,Clancys Bar,,Lower Street,Youghal,,Co. Cork
1008089,Manufacturer's Licence - Brewer,Fia Ban Teoranta,9 White Deer Brewery,Gordon Lucey,"Unit D, Udaras Industrial Estate",Ballymakeera,Macroom,Co. Cork
1006731,Wine Retailer's On Licence,Rollerpark Limited,Rollerjam,Ronan Ryan,Rollerjam First Floor,Supernova,Ballincollig,Co. Cork
Mwsr05,Special Restaurant Licence,Marius Chaniewski,Cascada,,Main Street,Charleville,,Co. Cork
Mwp152,Publican's Licence (7-Day Ordinary),John O'leary,The Junction Bar,,Glantane,Mallow,,Co. Cork
Byp239,Publican's Licence (7-Day Ordinary),Harry Deane (junior),,,Drimoleague,,,Co. Cork
Cxp690,Publican's Licence (7-Day Ordinary),Ackofia Limited,Canty's Bar,,6 Pembroke Street,Cork,,Co. Cork
Cxo340,Wine Retailer's Off Licence,John Murray,Garryvoe Stores,,Garryvoe,Castlemartyr,,Co. Cork
Byp258,Publican's Licence (7-Day Ordinary),Abina Long,The Beehive Bar,,Dungannon,Connonagh,Leap,Co. Cork
Lip0178,Publican's Licence (7-Day Ordinary),Patrick O'brien,,,Main Street,Charleville,,Co. Cork
Byp017,Publican's Licence (7-Day Ordinary),Vincent Mccarthy,The Anchor Bar,,New Street,Bantry,,Co. Cork
Byo071,Wine Retailer's Off Licence,Mary Harrington,,,Eyeries Post Office,Bantry,,Co. Cork
1012195,Wine Retailer's On Licence,Sew Geen Ding,New Pier Head Chinese Restaurant,,Pier Head,Blackrock,,Co. Cork
Mwp077,Publican's Licence (7-Day Ordinary),Joanna Monika Gajda,Molly's Bar,,Bweeng Cross,Mallow,,Co. Cork
Cxw014,Wine Retailer's On Licence,Patrick M. O'donovan,O'donovan's,,58 Main Street,Midleton,,Co. Cork
1006923,Spirit & Beer Retailer's Off Licence,Barry O'neill,O'neill's Londis,,Main Street,Killeagh,,Co. Cork
Cxp1021,Publican's Licence (7-Day Ordinary),Vivienne O'sullivan,City Bounds,,Lehenaghmore,Togher,Cork,Co. Cork
Cxp348,Publican's Licence (7-Day Ordinary),Gene O'callaghan,The Diamond Bar,,Glenarogue East,Beal Na Blath,Crookstown,Co. Cork
Byp152,Publican's Licence (7-Day Ordinary),Tadhg Kearney,Kearneys Well,,52-53 North Street,Skibbereen,,Co. Cork
Mwp178,Publican's Licence (7-Day Ordinary),Philip Egan,Egans Bar Teach Mhic Aogain,,Liscarroll,Mallow,,Co. Cork
Cxp754,Publican's Licence (7-Day Ordinary),Raymond And Patricia O'mahony,Red Cove Inn,,Ringmahon Road,Off Avenue De Rennes,"Mahon, Cork",Co. Cork
Mwp031,Publican's Licence (7-Day Ordinary),Alice Guiney Gleeson,Maureen's Bar,,Main Street,Buttevant,,Co. Cork
Cxp895,Publican's Licence (Ordinary) Hotel - BF - 1902 Act (Public Bar),Cross Blue Holdings Limited,Blue Haven Hotel,Ciaran Fitzgerald,3 Pearse Street,Kinsale,,Co. Cork
Byp279,Publican's Licence (7-Day Ordinary),Margaret Whooley,The Ahakista Bar,,Ahakista,Durrus,,Co. Cork
Byp265,Publican's Licence (7-Day Ordinary),John Hodnett,Hodnett,,The Square,Rosscarbery,,Co. Cork
Cxp640,Publican's Licence (7-Day Ordinary),Thomas Sweeney,Mary Ann's Bar,,Masseytown,Macroom,,Co. Cork
Mwp361,Publican's Licence (7-Day Ordinary),Catherine Cullinan,The Long Bar,,41 Oliver Plunkett Hill,Fermoy,,Co. Cork
1008859,Wine Retailer's Off Licence,Patrick B.hurley,Westside Service Station,,Model Farm Road,Cork,,Co. Cork
1007724,Publican's Licence (7-Day Ordinary),Timothy Coakley,Phairs,,Templebryan North,Kilnagross,Clonakilty,Co. Cork
Cxp270,Publican's Licence (7-Day Ordinary),Jeremiah O'regan,O'regans Bar,,Reagreallagh,Rea,Berrings,Co. Cork
Byp123,Publican's Licence (7-Day Ordinary),William O'brien,The Corner Bar,,37 Bridge Street,Skibbereen,,Co. Cork
Cxp232,Publican's Licence (7-Day Ordinary),Brendan Coleman,Sportsmans Rest,,Tulligmore,Ballinhassig,,Co. Cork
Mwp159,Publican's Licence (7-Day Ordinary),Bertie Hickey,The Central Bar,,Knocknagree,Mallow,,Co. Cork
1012567,"Spirit, Beer & Wine Retailer's Off Licence",H2 Listowel Limited,Texaco/spar Service Station,Sean Heaphy,Cork Road,Fermoy,,Co. Cork
Cxp739,Publican's Licence (7-Day Ordinary),Mary O'donovan,T/a The Castle Inn,,99 South Main Street,Cork,,Co. Cork
Cxp015,Publican's Licence (7-Day Ordinary),Ekon Ventures Limited,The Great O'neill,Kerri O'neill,Glounthaune,,,Co. Cork
1012249,Wine Retailer's On Licence,Sebastien Perey,Cosy Cafe,,Guardwell,Kinsale,,Co. Cork
1007733,Wine Retailer's On Licence,Organico Shop Cafe And Bakery Limited,Organico,,2 Glengariff Road,Bantry,,Co. Cork
Cxp168,Publican's Licence (7-Day Ordinary),Greencroft Consultants Limited,The Pine Lodge,,Myrtleville,,,Co. Cork
Cxp344,Publican's Licence (7-Day Ordinary),Greencroft Consultants Limited,Bunnyconnellan Hotel,,Myrtleville,,,Co. Cork
Cxp339,Publican's Licence (7-Day Ordinary),Murlish Investments Limited,The Oar Bar,Jp English,Crosshaven,,,Co. Cork
1007155,Special Restaurant Licence,Harbour Browns Limited,Harbour Browns Steakhouse,,11 West Beach,Cobh,,Co. Cork
1006955,Manufacturer's Licence - Brewer,Kinsale Craft Brewery Ltd,Kinsale Craft Brewery,Sam Black,Knocknabohilly,Kinsale,,Co. Cork
